iteration,oracle_average,neural_network_average,speedup_average,oracle_std,neural_network_std,speedup_std
34,0.9961481302,0.8134101196,1.8093255654,0.0000000000,0.1567330129,0.7667032843
35,0.9954173717,0.8535197529,1.7578772666,0.0000000000,0.0996873668,0.3991259296
36,0.9959211421,0.8327980653,1.7016217417,0.0000000000,0.0897830996,0.3568698586
37,0.9940390943,0.8718979492,1.9363301580,0.0000000000,0.0928095390,0.5435401598
38,0.9974376546,0.8340869868,1.7537234422,0.0000000000,0.0953362612,0.4055263925
39,0.9945132808,0.8545829738,1.6888790162,0.0000000000,0.0988651003,0.3564657549
40,0.9947168945,0.8839820262,1.7919314318,0.0000000000,0.0869753438,0.4617979766
41,0.9942003655,0.8496757076,1.8273889884,0.0000000000,0.1089648745,0.5968275632
42,0.9971981871,0.8702993340,1.8285835969,0.0000000000,0.0885364550,0.5339723043
43,0.9942517815,0.8842985043,1.9088715384,0.0000000000,0.0717734636,0.6083728768
44,0.9933741628,0.8600431122,1.7756077399,0.0000000000,0.0858986520,0.4544877046
45,0.9936012439,0.8571698007,1.7894300069,0.0000000000,0.0992934803,0.3692252660
46,0.9966623953,0.8293927963,1.7271774952,0.0000000000,0.0862555659,0.4081415735
47,0.9946508045,0.8554513357,1.7242653400,0.0000000000,0.0885254352,0.3887122071
48,0.9895103250,0.8391672771,1.8222715831,0.0000000000,0.0857637494,0.5191839940
49,0.9954926459,0.8929396951,1.8885356655,0.0000000000,0.0716931697,0.4753379141
50,0.9954414677,0.8757243578,1.8398856853,0.0000000000,0.1061956588,0.4869327209
51,0.9960539914,0.8816634495,1.8707955350,0.0000000000,0.0788568344,0.4824525270
52,0.9953524179,0.8138115876,1.7102491181,0.0000000000,0.0957517524,0.3594822516
53,0.9920394376,0.8766995648,1.8078408076,0.0000000000,0.0922308143,0.4067719867
54,0.9932711287,0.8621163064,1.7535619697,0.0000000000,0.0921510782,0.4661923326
55,0.9935476162,0.8992833748,1.9059702946,0.0000000000,0.0684154256,0.4836121651
56,0.9950942086,0.8708741116,1.9479560264,0.0000000000,0.0843963823,0.5359379893
57,0.9916120177,0.8626000734,1.7938063068,0.0000000000,0.0797318544,0.3783110359
58,0.9924832962,0.8770527913,1.8095172328,0.0000000000,0.0963887277,0.4212197227
59,0.9927310488,0.8748956531,1.8784203943,0.0000000000,0.1047179364,0.4818421707
60,0.9934904514,0.9012122343,1.7857422003,0.0000000000,0.0647956759,0.4004805488
61,0.9942345476,0.8583799040,1.7648486738,0.0000000000,0.0832250051,0.4041885741
62,0.9943825794,0.8860549621,1.8031489728,0.0000000000,0.0801414611,0.3987302572
63,0.9952401415,0.8710519309,1.7869934696,0.0000000000,0.0685929109,0.3794990787
64,0.9940919905,0.8916301383,1.9419374072,0.0000000000,0.0984259346,0.5673126825
65,0.9932493739,0.8832854802,1.8786062700,0.0000000000,0.1061216203,0.4616225174
66,0.9939798243,0.9007505999,1.7958906771,0.0000000000,0.0808687770,0.3315939310
67,0.9948246660,0.8474498339,1.7482197334,0.0000000000,0.0870735530,0.3963237215
68,0.9943932719,0.8941107840,1.9013870773,0.0000000000,0.0723698470,0.5092470870
69,0.9945572865,0.9170798832,1.9762288281,0.0000000000,0.0489696480,0.4136504335
70,0.9961546315,0.8890747856,1.8553146607,0.0000000000,0.0826498956,0.4464340424
71,0.9959559573,0.9039221500,1.8057006143,0.0000000000,0.0810036537,0.4116348606
72,0.9940039477,0.9126277246,1.9612595867,0.0000000000,0.0563285201,0.5368650055
73,0.9929022082,0.9219730958,1.8986366551,0.0000000000,0.0577000038,0.4344713468
74,0.9962654321,0.8675230634,1.8276073266,0.0000000000,0.0754822599,0.4207942295
75,0.9950892687,0.8805030289,1.7163444583,0.0000000000,0.0681455047,0.3094100614
76,0.9949873698,0.8745337391,1.8857170855,0.0000000000,0.0903179886,0.4743584594
77,0.9997687980,0.7744187444,4.8680621026,0.0000000000,0.2419991453,9.6710064624
78,0.9997694811,0.8414827919,6.0862171879,0.0000000000,0.2205709827,11.3509742048
79,0.9924086085,0.9008794125,1.8622710097,0.0000000000,0.0751892734,0.5109889408
80,0.9937759336,0.9286985106,1.9476395962,0.0000000000,0.0605621612,0.4617774733
81,0.9941774764,0.8966921198,1.8364567274,0.0000000000,0.0675027489,0.4805433131
82,0.9954736952,0.9079916636,1.9006032585,0.0000000000,0.0746708161,0.4084488911
83,0.9944194845,0.9140336608,1.8943601112,0.0000000000,0.0733888920,0.4966861950
84,0.9951867603,0.9312361723,1.8794910393,0.0000000000,0.0546424186,0.4011350738
85,0.9971848828,0.8801046234,1.8256387942,0.0000000000,0.0915291808,0.4048226494
86,0.9949350769,0.9126586647,2.0105448685,0.0000000000,0.0621507270,0.5194591879
87,0.9946472446,0.9215490108,1.9541898806,0.0000000000,0.0648453736,0.4784758248
88,0.9953824898,0.9145434990,1.9950693948,0.0000000000,0.0769209470,0.4587970418
89,0.9933117662,0.9014192525,1.9455143747,0.0000000000,0.0765535800,0.5609731701
90,0.9947661802,0.9163472585,1.9127759562,0.0000000000,0.0777275674,0.5130106366
91,0.9954795313,0.9201897842,1.9058130888,0.0000000000,0.0629173589,0.4405142565
92,0.9951758588,0.9254380490,2.0077338510,0.0000000000,0.0577937256,0.4893405767
93,0.9976036744,0.9337865090,1.9573872819,0.0000000000,0.0730208147,0.4345190864
94,0.9962652743,0.8994863507,1.8522303867,0.0000000000,0.0653605620,0.4007549189
95,0.9940174114,0.9082585113,1.8319117318,0.0000000000,0.0925882292,0.5061294396
96,0.9915460065,0.8929821230,1.7945372444,0.0000000000,0.0759924398,0.4638075592
97,0.9961981523,0.9235348159,1.9059867866,0.0000000000,0.0674946518,0.4567289696
98,0.9932169325,0.8890493169,1.9033280885,0.0000000000,0.0620071420,0.3799140949
99,0.9917335278,0.9212350013,1.9393621102,0.0000000000,0.0523535076,0.4657348768
100,0.9964059854,0.9156264822,1.9151556724,0.0000000000,0.0764800135,0.4861999919
101,0.9950456613,0.9152179946,2.0220892744,0.0000000000,0.0602836541,0.5395238788
102,0.9932137664,0.9134232783,1.9321927710,0.0000000000,0.0595279413,0.3839062360
103,0.9943814622,0.9283600804,1.9886155789,0.0000000000,0.0724840071,0.5847774824
104,0.9962874681,0.9461247087,2.5750702766,0.0000000000,0.0596209284,1.2010627888
