iteration,accuracy
75,0.7953892829,0.0146751359
76,0.8126591783,0.0166173700
77,0.8081641350,0.0135314059
78,0.8102543809,0.0147873250
79,0.7843698315,0.0287844042
80,0.8206447292,0.0131707033
81,0.8063377066,0.0155136220
82,0.8092092580,0.0138132610
83,0.8198228364,0.0140209878
84,0.8316235934,0.0116832038
85,0.8189907968,0.0091207480
86,0.8093005794,0.0179732316
87,0.8172861303,0.0200721323
88,0.8295232007,0.0113259108
89,0.7944456282,0.0156195130
90,0.8046939210,0.0147040827
91,0.8197315150,0.0112307335
92,0.8005641634,0.0131302027
93,0.8221058720,0.0117406784
94,0.8322526965,0.0117197800
95,0.8173064240,0.0117185940
96,0.7991436080,0.0107788796
97,0.8303349467,0.0103335532
98,0.8041967266,0.0083908779
99,0.8216797053,0.0158038152
100,0.8310046371,0.0122780183
101,0.8250180106,0.0131265481
102,0.7911783507,0.0167423343
103,0.8223291021,0.0128186566
104,0.8131665195,0.0117095147
105,0.8235264274,0.0124484211
106,0.8308625816,0.0119615440
107,0.7900114659,0.0174381025
108,0.8288940976,0.0121350337
109,0.8063580003,0.0145509497
110,0.8247643400,0.0134901183
111,0.8028370521,0.0140244166
112,0.8210100149,0.0123752662
113,0.8386350492,0.0148795216
114,0.7920002435,0.0153387033
115,0.8310350776,0.0137335687
116,0.8261950423,0.0118565026
117,0.8602680791,0.0146246616
118,0.6454902438,0.0134323493
119,0.6551398740,0.0152422125
120,0.7033880247,0.0153137872
121,0.7484094853,0.0128975520
122,0.7691394478,0.0157302160
123,0.6552717827,0.0283286440
124,0.7623207817,0.0146815190
125,0.7384757440,0.0123336729
126,0.6252371820,0.0239335954
127,0.7324891175,0.0197015696
128,0.7550455085,0.0225039641
129,0.6783862490,0.0192539358
130,0.7023631954,0.0154406067
131,0.6990350370,0.0157601974
132,0.7544975800,0.0239166100
133,0.7169543291,0.0193938708
134,0.6917191765,0.0213664853
135,0.7141030714,0.0194769506
136,0.6280174120,0.0227702113
137,0.6886142482,0.0183057264
138,0.6934339898,0.0128343092
139,0.7416922874,0.0166967594
140,0.7402412915,0.0171246356
141,0.7441884062,0.0175408752
142,0.6960315769,0.0124012047
143,0.7729343602,0.0111751784
144,0.7686016661,0.0126070038
145,0.7819244467,0.0108250688
146,0.7570951671,0.0126906477
147,0.7786774629,0.0156619976
148,0.7102777186,0.0126071508
149,0.7170456506,0.0123550246
150,0.7531987864,0.0110746536
151,0.6517914219,0.0169273973
152,0.7216015748,0.0155453194
153,0.7143263016,0.0165791661
154,0.7765364829,0.0450652110
155,0.7547715442,0.0183113499
156,0.8034560084,0.0298053537
157,0.6970259657,0.0112438721
158,0.7115156312,0.0126487484
159,0.7715543921,0.0219127859
160,0.7584954289,0.0248602834
161,0.7963024971,0.0117659158
162,0.7570444329,0.0121913749
163,0.8030704291,0.0153979793
164,0.7934410926,0.0108647239
165,0.7842480696,0.0143649223
166,0.7837407283,0.0154692791
167,0.7113634288,0.0136661944
168,0.7253254594,0.0190300820
169,0.5800635191,0.0203607103
170,0.6120970442,0.0162107328
171,0.7510273660,0.0131779401
172,0.7565269449,0.0221293055
173,0.7125810478,0.0144500116
174,0.7468874616,0.0235136365
175,0.7206173328,0.0144059039
176,0.6984972553,0.0164347551
177,0.7469686362,0.0147639122
178,0.7269388045,0.0137482770
179,0.7160106745,0.0153224308
180,0.7808184429,0.0296294539
181,0.7027386279,0.0163223272
182,0.7856381845,0.0127283330
183,0.7838016093,0.0101163688
184,0.7979259891,0.0161062870
185,0.7689973923,0.0214860298
186,0.7842988037,0.0174755717
187,0.7819041531,0.0106440722
188,0.7361013871,0.0168657196
189,0.7163658133,0.0159529575
190,0.7316164906,0.0110373107
191,0.7286637647,0.0136823599
192,0.7473745091,0.0135346165
193,0.7536249531,0.0116857856
194,0.7191561901,0.0222492400
195,0.7404543748,0.0139381770
196,0.7584345479,0.0120241798
197,0.7400890891,0.0155435045
198,0.7431838706,0.0139398980
199,0.7727923046,0.0208963253
200,0.7835580855,0.0136778442
201,0.7777338082,0.0093056616
202,0.7476180329,0.0136861143
203,0.7562834211,0.0260858539
204,0.7881140097,0.0154909613
205,0.7582113178,0.0128350954
206,0.7971751240,0.0119941046
207,0.6979594736,0.0206462773
208,0.7439956166,0.0302639210
209,0.7081671791,0.0228440696
210,0.7513013302,0.0150540992
211,0.7587896868,0.0187342204
212,0.7197751464,0.0159204874
213,0.7437926801,0.0177244201
214,0.7458829259,0.0123847969
215,0.7653851227,0.0119756776
216,0.7051738658,0.0153024140
217,0.6464846326,0.0169501421
218,0.5862733757,0.0310669157
219,0.7415299382,0.0513482440
220,0.7319006017,0.0145310322
221,0.6286769555,0.0214406220
222,0.6757683683,0.0172596203
223,0.6694063093,0.0205571410
224,0.7174007894,0.0204001750
225,0.6906740536,0.0147845536
226,0.6720444837,0.0125524217
227,0.6380221810,0.0192014493
228,0.7929540450,0.0344931178
229,0.7132811787,0.0074416842
230,0.7400383550,0.0124110888
231,0.7750448997,0.0178693560
232,0.7299219709,0.0101115538
233,0.7605755279,0.0395799702
234,0.7350664110,0.0170321153
235,0.6840177366,0.0209405385
236,0.6112345641,0.0286516573
237,0.6500766085,0.0178624349
238,0.7018660010,0.0134079373
239,0.6932006129,0.0206858940
240,0.6603756354,0.0121444647
241,0.7081164450,0.0369540831
242,0.7110996114,0.0176643189
243,0.7471715727,0.0206473943
244,0.6604568100,0.0234678613
245,0.7417024342,0.0150973634
246,0.6931600256,0.0146058385
247,0.6705529005,0.0126193622
248,0.7359694784,0.0184927541
249,0.6883199903,0.0125260237
250,0.7092021552,0.0170340797
251,0.7347112721,0.0110478931
252,0.7701033961,0.0205569256
253,0.8148305988,0.0201501527
254,0.6941848548,0.0313013897
255,0.6994409100,0.0213823377
256,0.7144886508,0.0382737684
257,0.6338416892,0.0351678048
258,0.7057928221,0.0265332342
259,0.7160715554,0.0140371260
260,0.7331993952,0.0154443336
261,0.7350968514,0.0152299679
262,0.7656996743,0.0179889950
263,0.7499416558,0.0088522423
264,0.7293030146,0.0141069620
265,0.7183241505,0.0131557718
266,0.7128144247,0.0143131454
267,0.7571661948,0.0130119327
268,0.7483384575,0.0169162204
269,0.7095167067,0.0162724129
270,0.6552109017,0.0139639182
271,0.6745710430,0.0137864842
272,0.7128753057,0.0192739834
273,0.7288768480,0.0122876830
274,0.7387902956,0.0136843313
275,0.7830608911,0.0226285517
276,0.7312917922,0.0153158779
277,0.8007062190,0.0100789691
278,0.7796718517,0.0139805422
279,0.7778149828,0.0110800351
280,0.7772772011,0.0168185997
281,0.7940499021,0.0157438700
282,0.8149523607,0.0142698773
283,0.7804328635,0.0098507325
284,0.7761407568,0.0117215018
285,0.8118068450,0.0142626099
286,0.8122330117,0.0161518580
287,0.7761610504,0.0108168196
288,0.7920712713,0.0102747409
289,0.8176209755,0.0114441787
290,0.8007163658,0.0124120593
291,0.7942731322,0.0140156483
292,0.7889866366,0.0183804342
293,0.7974693820,0.0146772055
294,0.8059622741,0.0108181235
295,0.8165048248,0.0092164116
296,0.8184834556,0.0098217278
297,0.7941615172,0.0122705780
298,0.7899505850,0.0098439260
299,0.7773076416,0.0165931888
300,0.7611437501,0.0113178265
301,0.7893823628,0.0128522261
302,0.7885300295,0.0110896112
303,0.7876878431,0.0108598141
304,0.7929844855,0.0129460439
305,0.8194676976,0.0135418032
306,0.8236583361,0.0105421454
307,0.8285288119,0.0124894922
308,0.7852830457,0.0161576194
309,0.7864093432,0.0099673740
310,0.8156727852,0.0136178929
311,0.8084380993,0.0122530627
312,0.8144754599,0.0137176887
313,0.8366564184,0.0165844128
314,0.8166367335,0.0118643935
315,0.7841770418,0.0229906221
316,0.7944760687,0.0134436886
317,0.7804227167,0.0128348387
318,0.8247237527,0.0084877202
319,0.7884590018,0.0112323835
320,0.7957647154,0.0132392227
321,0.8324353394,0.0113801240
322,0.7847148235,0.0115034295
323,0.8007366595,0.0137851324
324,0.7732489118,0.0175271056
325,0.7855164226,0.0128305062
326,0.7813968119,0.0144445171
327,0.6751697056,0.0150237573
328,0.8072001867,0.0102841358
329,0.7881140097,0.0099809584
330,0.8060333019,0.0116795372
331,0.8218724950,0.0143873600
332,0.8099804166,0.0114279194
333,0.8166773208,0.0138813678
334,0.7825941372,0.0149986337
335,0.7802502207,0.0112001732
336,0.8149523607,0.0078145965
337,0.7959980924,0.0124174997
338,0.8156321979,0.0115010933
339,0.8367680334,0.0096501796
340,0.7940296084,0.0167299507
341,0.8017716356,0.0095605166
342,0.8186762453,0.0137343558
343,0.8072306272,0.0131953904
344,0.7988290564,0.0104736956
345,0.8155307297,0.0108408172
346,0.8064696153,0.0208285912
347,0.7940600489,0.0106741604
348,0.8072306272,0.0148326863
349,0.8114314125,0.0132391449
350,0.8355301208,0.0124318520
351,0.8244396416,0.0096067871
352,0.8080423731,0.0107441505
353,0.8401875133,0.0094047544
354,0.7885706168,0.0092173388
355,0.8046025996,0.0235609790
356,0.8291274746,0.0114605407
357,0.8243889075,0.0114274239
358,0.8154394082,0.0104653071
359,0.8220652847,0.0153757106
360,0.7761001695,0.0140644578
361,0.8210810427,0.0099270591
362,0.8261443081,0.0128414549
363,0.8083264842,0.0108401809
364,0.7763436932,0.0093212709
365,0.7869065376,0.0158541073
366,0.8248759551,0.0112250115
367,0.8285693992,0.0119980097
368,0.8189806500,0.0169165794
369,0.8007873936,0.0132863282
370,0.8219841101,0.0144438185
371,0.8177325906,0.0098406100
372,0.8272198715,0.0132504864
373,0.8346676408,0.0124931436
374,0.8492486276,0.0075720742
375,0.8006047507,0.0150055652
376,0.8179456739,0.0079786695
377,0.8485789372,0.0086732383
378,0.8521100322,0.0137347756
379,0.8533682384,0.0092702891
380,0.8560368533,0.0117983356
381,0.8152364717,0.0126930489
382,0.8163018883,0.0105788615
383,0.8459813501,0.0133907256
384,0.8396091443,0.0123938550
385,0.8351141010,0.0134959099
386,0.8305175895,0.0115207977
387,0.8492181872,0.0089339779
388,0.8697756537,0.0107598355
389,0.8384929936,0.0106347628
390,0.8504053656,0.0162870979
391,0.8556512739,0.0135305157
392,0.8384625531,0.0099856715
393,0.8447840248,0.0119383848
394,0.8303755340,0.0103669566
395,0.8134607774,0.0116531763
396,0.8446521161,0.0112833875
397,0.8271589906,0.0093052854
398,0.8343632360,0.0112937029
