iteration,oracle_average,neural_network_average,speedup_average,oracle_std,neural_network_std,speedup_std
44,0.9933741628,0.9039392890,1.7222499245,0.0000000000,0.0460390275,0.4514440271
45,0.9936012439,0.8933208415,1.6293569956,0.0000000000,0.0745765767,0.3255547862
46,0.9966623953,0.8485495657,1.6714473871,0.0000000000,0.0793389469,0.2096202274
47,0.9946508045,0.8561755867,2.0918051208,0.0000000000,0.0742710364,0.4706488852
48,0.9895103250,0.8763295023,1.8563038075,0.0000000000,0.0832242300,0.3717281224
49,0.9954926459,0.8565290738,1.8174348076,0.0000000000,0.0890296027,0.2248518120
50,0.9954414677,0.8476171497,1.8675665264,0.0000000000,0.1171755670,0.4257934903
51,0.9960539914,0.9067433598,1.8441451807,0.0000000000,0.0742956537,0.3537092138
52,0.9953524179,0.8254923206,1.6438755143,0.0000000000,0.0975721615,0.3298695172
53,0.9920394376,0.8762664070,1.6960342406,0.0000000000,0.1129331924,0.3486383084
54,0.9932711287,0.9150118628,1.9430010099,0.0000000000,0.0413188018,0.2900169315
55,0.9935476162,0.9295946682,2.2410126088,0.0000000000,0.0527598613,0.6962588559
56,0.9950942086,0.9033168360,1.8275332045,0.0000000000,0.0617210018,0.8286026467
57,0.9916120177,0.9109941877,1.8356652705,0.0000000000,0.0653778373,0.5378904789
58,0.9924832962,0.8825697317,1.7262838423,0.0000000000,0.0898751663,0.3846345607
59,0.9927310488,0.8706011307,1.8380616766,0.0000000000,0.1156491823,0.4785725309
60,0.9934904514,0.9350918700,1.7754298650,0.0000000000,0.0346479423,0.3342593099
61,0.9942345476,0.8446262477,1.9750987392,0.0000000000,0.0768359165,0.6138786674
62,0.9943825794,0.8824710776,1.9559926927,0.0000000000,0.0745903207,0.2886443654
63,0.9952401415,0.8859433592,1.8013969011,0.0000000000,0.0510635852,0.2905043221
64,0.9940919905,0.8761829236,1.6474109825,0.0000000000,0.0842151775,0.3589282399
65,0.9932493739,0.8790976583,1.8917073258,0.0000000000,0.1047384537,0.2894990599
66,0.9939798243,0.8836388618,1.7565648772,0.0000000000,0.0745030042,0.4452399917
67,0.9948246660,0.8521492448,1.7013248802,0.0000000000,0.0826551243,0.1313660906
68,0.9943932719,0.8682764997,1.8307169178,0.0000000000,0.0712138921,0.6584138961
69,0.9945572865,0.9069041828,1.6783530116,0.0000000000,0.0591965562,0.3246263521
70,0.9961546315,0.8930707744,1.8947129332,0.0000000000,0.0520384769,0.4333936746
71,0.9959559573,0.8351457894,1.6380201489,0.0000000000,0.0958578251,0.1705190298
72,0.9940039477,0.8960601509,2.1286483826,0.0000000000,0.0543482852,0.7386794232
73,0.9929022082,0.9149187374,1.8618218373,0.0000000000,0.0561990138,0.3128637525
74,0.9962654321,0.8711145405,1.8651072034,0.0000000000,0.0734853944,0.5185369117
75,0.9950892687,0.8534774830,1.9309860129,0.0000000000,0.0653725954,0.3489975598
76,0.9949873698,0.8513095113,1.6196486101,0.0000000000,0.1104048382,0.3524029914
77,0.9997687980,0.8894844449,8.8106529661,0.0000000000,0.2319965871,19.6132025075
78,0.9997694811,0.8550082598,1.6401898614,0.0000000000,0.2075453223,0.7339020496
79,0.9924086085,0.8744758910,2.0397607590,0.0000000000,0.1135297674,0.5708288776
80,0.9937759336,0.9154158769,1.6063199384,0.0000000000,0.0664920737,0.3389240808
81,0.9941774764,0.8744636072,1.8109127304,0.0000000000,0.0596697386,0.3534225101
82,0.9954736952,0.8747025986,1.6322352003,0.0000000000,0.0962610539,0.3798262186
83,0.9944194845,0.9184204304,1.9397549155,0.0000000000,0.0712778179,0.5505587620
84,0.9951867603,0.9295743177,1.9100007618,0.0000000000,0.0451750677,0.2281381201
85,0.9971848828,0.8957976556,1.8065044732,0.0000000000,0.0741606442,0.4927010097
86,0.9949350769,0.8708853895,1.9989748954,0.0000000000,0.0919847109,0.5666390080
87,0.9946472446,0.8877871378,1.9108601537,0.0000000000,0.0821133923,0.3765477283
88,0.9953824898,0.9026040657,1.7256942457,0.0000000000,0.0895036909,0.2958580597
89,0.9933117662,0.9004680956,1.8036044774,0.0000000000,0.0603787438,0.4163212741
90,0.9947661802,0.8908651641,1.8198242705,0.0000000000,0.0823558907,0.3315510428
91,0.9954795313,0.8971342238,1.6707539387,0.0000000000,0.0951409457,0.2585246767
92,0.9951758588,0.9313329684,1.8322627262,0.0000000000,0.0703932894,0.3404692760
93,0.9976036744,0.9652273921,1.8672664517,0.0000000000,0.0318517848,0.3072115833
94,0.9962652743,0.9282062439,1.9009713285,0.0000000000,0.0322724427,0.3340768965
95,0.9940174114,0.9172018906,1.9749756049,0.0000000000,0.0795129919,0.4072498282
96,0.9915460065,0.8847942291,1.6815715288,0.0000000000,0.0681352736,0.2013951411
97,0.9961981523,0.9170310104,2.0748116236,0.0000000000,0.0791381039,0.5225837135
98,0.9932169325,0.8984493852,1.8074240484,0.0000000000,0.0598692516,0.2281289023
99,0.9917335278,0.9312586109,1.7269796613,0.0000000000,0.0390271950,0.4081206524
100,0.9964059854,0.9158670368,1.9817242769,0.0000000000,0.0956768585,0.2801906010
101,0.9950456613,0.9127937787,1.9288238185,0.0000000000,0.0637930710,0.2208976917
102,0.9932137664,0.9303893177,2.1457353023,0.0000000000,0.0387223133,0.5066559552
103,0.9943814622,0.9384103343,1.7734512804,0.0000000000,0.0494831710,0.2967166946
104,0.9962874681,0.8828607121,1.8836986002,0.0000000000,0.1255295302,0.7819064239
105,0.9942819097,0.9060866765,1.9791065209,0.0000000000,0.0529914378,0.7547185068
106,0.9968826299,0.8925706313,2.0543275050,0.0000000000,0.1363507094,0.9958921833
107,0.9929895394,0.8895291695,1.7305357759,0.0000000000,0.0508719955,0.3192537147
108,0.9940251148,0.8931947070,1.7066843238,0.0000000000,0.0552612873,0.1432258994
109,0.9947796610,0.8317099812,1.6794085626,0.0000000000,0.1009199488,0.2766601093
110,0.9996890014,0.8051297486,4.4814035807,0.0000000000,0.2523533648,7.7118873922
111,0.9944204402,0.9164162291,2.0852616784,0.0000000000,0.0541266600,0.3905088882
112,0.9966554349,0.9244782784,2.0031680722,0.0000000000,0.0313253342,0.6181915983
113,0.9950815697,0.9031785067,1.7048432008,0.0000000000,0.0838335993,0.3733608584
114,0.9929667041,0.9068088290,1.8335241637,0.0000000000,0.0814765993,0.3698663445
115,0.9958365055,0.7573171763,1.9402212384,0.0000000000,0.1980403301,0.7312557615
116,0.9962607013,0.8514631008,1.9529454361,0.0000000000,0.1124955856,0.3996159345
117,0.9968318382,0.8452149287,1.6432300156,0.0000000000,0.1110809278,0.4120936026
118,0.9911628632,0.7906436092,1.9368848192,0.0000000000,0.1813001581,0.7285694178
119,0.9907596063,0.6833236083,1.7287663684,0.0000000000,0.0848185188,0.7592215091
120,0.9927251155,0.7354745154,1.6160863999,0.0000000000,0.0936956948,0.3052719074
121,0.9961380535,0.7961158584,1.6327692954,0.0000000000,0.1022625636,0.2396302426
122,0.9964505952,0.7767061842,1.5631319299,0.0000000000,0.0992783948,0.2667990624
123,0.9838275598,0.7339462126,1.4388399864,0.0000000000,0.1257165026,0.3826442781
124,0.9968716720,0.8401686931,2.2120660756,0.0000000000,0.1294249674,0.9446022487
125,0.9950611538,0.8317028533,1.6826252550,0.0000000000,0.1582310863,0.5343486054
126,0.9993055099,0.5288523997,1.3624007971,0.0000000000,0.2619476799,0.8049641571
127,0.9944898521,0.8311615868,1.6572006132,0.0000000000,0.0727378827,0.3651620515
128,0.9970261697,0.7898096749,2.5794009970,0.0000000000,0.2308075846,1.4557160001
129,0.9914679036,0.6467844470,1.2894049623,0.0000000000,0.1408589041,0.4031045789
130,0.9942198398,0.7168977296,1.5433641727,0.0000000000,0.0896247395,0.4778011617
131,0.9945405777,0.8248316678,2.0626087989,0.0000000000,0.1543673811,0.9891670631
132,0.9956686169,0.7100702862,1.4744100159,0.0000000000,0.0785225508,0.3246212235
133,0.9995910906,0.8731877878,3.2222183530,0.0000000000,0.1994476773,4.6742031381
134,0.9932368804,0.7972332404,1.5852394212,0.0000000000,0.1073301517,0.1946197825
135,0.9938692098,0.8022013481,1.6128252156,0.0000000000,0.1306591155,0.3781899699
136,0.9887030777,0.7915801854,1.6022960642,0.0000000000,0.0772130297,0.2874333465
137,0.9961407389,0.8192541771,1.7106247501,0.0000000000,0.1668434113,0.4677256459
138,0.9945865838,0.7069116541,1.7939001789,0.0000000000,0.1139158890,0.4800466093
139,0.9949758644,0.8028984555,1.5717322873,0.0000000000,0.0909811717,0.2944992310
140,0.9947054931,0.8117986617,1.6799094289,0.0000000000,0.0714822014,0.2826836122
141,0.9952976639,0.8670384326,1.6069013696,0.0000000000,0.0546031355,0.2945698782
142,0.9935069009,0.7347448766,1.8246455247,0.0000000000,0.1497309620,0.6893317717
143,0.9976366322,0.6604365666,1.5948190508,0.0000000000,0.1083956457,0.6867692327
144,0.9991877673,0.9811682340,6.1828418215,0.0000000000,0.0140345678,5.7878299483
145,0.9997384838,0.8380910925,1.7419117345,0.0000000000,0.1900537546,1.1574485245
146,0.9963418756,0.6138359278,1.4744044676,0.0000000000,0.1893773336,0.3907893172
147,0.9976570101,0.7747861636,1.8229332197,0.0000000000,0.0940649844,0.3088146966
148,0.9961926212,0.8587496226,1.6397035923,0.0000000000,0.0848547277,0.4229239491
149,0.9961327277,0.8932426105,2.0289249418,0.0000000000,0.0604011980,0.4098434397
150,0.9971314284,0.9142792891,2.2323666779,0.0000000000,0.0737107761,0.9537831104
151,0.9859492639,0.7919084384,1.6901026165,0.0000000000,0.0557287848,0.3379193708
152,0.9955556659,0.8152415003,1.7410365703,0.0000000000,0.1012365330,0.4498708358
153,0.9972247129,0.8475758539,1.8894907693,0.0000000000,0.2191619438,0.5981286243
154,0.9922213579,0.9026558507,1.4833842687,0.0000000000,0.0252321086,0.3445300367
155,0.9889089871,0.8899942879,1.6332317140,0.0000000000,0.0296903385,0.2190065190
156,0.9899519829,0.9461899210,2.2415471569,0.0000000000,0.0383353157,1.3545760939
157,0.9995772071,0.6637994504,1.1947280108,0.0000000000,0.3214375914,0.8266338862
158,0.9961772042,0.7537685717,1.5026728300,0.0000000000,0.0762851822,0.2038371245
159,0.9947962119,0.7510980388,1.5705896599,0.0000000000,0.1196699350,0.3015069642
160,0.9938465203,0.8584479116,1.6707718691,0.0000000000,0.0981829711,0.4175888560
161,0.9996976322,0.8866477940,4.2869882343,0.0000000000,0.2115723394,5.5306043077
162,0.9926503431,0.8751866741,1.8145969142,0.0000000000,0.0615833087,0.6186635870
163,0.9935867579,0.8262970792,2.0768552081,0.0000000000,0.0470562182,0.4692309740
164,0.9985822105,0.5490244850,1.0415751162,0.0000000000,0.3667228731,0.4578040349
165,0.9977348293,0.7403060556,1.8592214574,0.0000000000,0.1865005690,0.6423471644
166,0.9973754006,0.6089960831,1.3233069224,0.0000000000,0.1583525762,0.5508388494
167,0.9955802285,0.7174003298,1.6583667490,0.0000000000,0.1379761195,0.8073606918
168,0.9934219139,0.7356183910,1.4696706349,0.0000000000,0.0549108667,0.2713355260
169,0.9902794654,0.4924311462,0.8489825495,0.0000000000,0.2302897252,0.4101287535
170,0.9732293933,0.7700561330,1.6561459125,0.0000000000,0.0790523088,0.1676490658
171,0.9985540858,0.9503521732,5.4509235925,0.0000000000,0.0323623360,5.4899977424
172,0.9926226101,0.8258828238,1.8896337384,0.0000000000,0.1067342622,0.3411755124
173,0.9951878493,0.8942357230,2.0805912547,0.0000000000,0.0487866200,0.5318883032
174,0.9969522916,0.8054611287,1.9107520318,0.0000000000,0.1662638787,0.8402603405
175,0.9963204688,0.9537385442,2.1118033317,0.0000000000,0.0276915224,0.8246988113
176,0.9997283312,0.8926043314,3.8399493767,0.0000000000,0.1529253820,4.9054111254
177,0.9969514620,0.8256589702,2.7260892212,0.0000000000,0.2206713728,1.1119255231
178,0.9962986368,0.8547841875,1.7109842119,0.0000000000,0.0863240492,0.2558351738
179,0.9960223381,0.8888596199,2.6912900916,0.0000000000,0.0857389713,1.5468522255
180,0.9990428005,0.9785393410,5.8472945175,0.0000000000,0.0055307167,6.1218150778
181,0.9996456678,0.7174603996,2.4653072543,0.0000000000,0.2549005283,2.0024517274
182,0.9966041108,0.9114123060,1.8294685770,0.0000000000,0.0692630009,0.2373128332
183,0.9965958606,0.5540244493,1.5109673770,0.0000000000,0.1381894782,0.4548395294
184,0.9958304378,0.7949495255,1.6884838081,0.0000000000,0.0875089580,0.2043859026
185,0.9940084326,0.8153216461,1.8383734204,0.0000000000,0.1354786236,0.6263704641
186,0.9912223159,0.8120867564,1.7080443537,0.0000000000,0.1381529216,0.4823902466
187,0.9962644638,0.7742615820,1.4635136229,0.0000000000,0.1248879912,0.3284885295
188,0.9950783266,0.6456128417,1.5678944126,0.0000000000,0.1221188241,0.4327565299
189,0.9969829486,0.5991540203,1.4881845752,0.0000000000,0.1617612819,0.5293992987
190,0.9975913452,0.7012837087,1.8029010114,0.0000000000,0.1675691835,0.9809370994
191,0.9995856663,0.8051386433,1.8064467493,0.0000000000,0.2090441917,0.9593788421
192,0.9951764478,0.8167111752,1.6786623239,0.0000000000,0.0828746834,0.3833528506
193,0.9980214450,0.8968492043,2.6032006386,0.0000000000,0.1172637266,1.0847389998
194,0.9928718814,0.7763563226,1.7323767353,0.0000000000,0.0684485424,0.2508977807
195,0.9937653815,0.8083456385,1.4375252416,0.0000000000,0.1027083543,0.1982478104
196,0.9965287420,0.8909275642,1.6871213315,0.0000000000,0.0308851604,0.3790754630
197,0.9956411188,0.7820640110,1.6397843574,0.0000000000,0.1305239764,0.4521138630
198,0.9974840130,0.6710114035,3.2407881287,0.0000000000,0.3208314995,2.6279295432
199,0.9995352363,0.8800740405,13.2615782356,0.0000000000,0.2898040970,13.6858231140
200,0.9940370669,0.7916435372,1.6005423339,0.0000000000,0.0784949487,0.3035183607
201,0.9976698242,0.8935295409,1.5475223909,0.0000000000,0.0626178907,0.5032126763
202,0.9958985831,0.7696879308,1.5156828002,0.0000000000,0.0598878339,0.2105823077
