iteration,accuracy
134,0.6774392121,0.0251407545
135,0.6920077973,0.0195831460
136,0.6172155535,0.0164377348
137,0.6651277316,0.0199706103
138,0.6682056017,0.0206561548
139,0.7357135529,0.0143626610
140,0.7284292603,0.0222137989
141,0.7323278958,0.0161665516
142,0.6731301939,0.0109945036
143,0.7611572792,0.0094966135
144,0.7471016723,0.0178221408
145,0.7584897917,0.0141923599
146,0.7429978455,0.0159099390
147,0.7705960808,0.0138066482
148,0.6918026059,0.0071493799
149,0.7070893608,0.0170246997
150,0.7419718888,0.0104928841
151,0.6614342875,0.0124492142
152,0.7102698266,0.0126513400
153,0.7004206422,0.0116073751
154,0.7743921207,0.0303197546
155,0.7427926541,0.0261604878
156,0.8068123525,0.0082447607
157,0.6885195445,0.0075768136
158,0.6913922232,0.0160154438
159,0.7674156151,0.0136641103
160,0.7536677952,0.0118630057
161,0.7839335180,0.0130437797
162,0.7488457987,0.0043744753
163,0.7934749154,0.0227762388
164,0.7752128860,0.0121574787
165,0.7723402072,0.0087067403
166,0.7808556479,0.0160049246
167,0.6986765159,0.0229667690
168,0.6969323895,0.0162444945
169,0.5712526931,0.0192508412
170,0.6109572176,0.0099258329
171,0.7469990766,0.0115081066
172,0.7528470299,0.0183952635
173,0.7081153175,0.0120032550
174,0.7372524879,0.0206887419
175,0.7096542526,0.0184164230
176,0.6943674977,0.0170148045
177,0.7365343183,0.0169757861
178,0.7219657330,0.0124525957
179,0.7196060326,0.0210108318
180,0.7867036011,0.0220492394
181,0.6857494614,0.0180574209
182,0.7779829691,0.0117210783
183,0.7753154817,0.0085185303
184,0.7802400739,0.0230573355
185,0.7676208064,0.0211814719
186,0.7733661639,0.0209119072
187,0.7649533190,0.0135224052
188,0.7116035703,0.0287381443
189,0.7065763825,0.0150203706
190,0.7125269314,0.0116064682
191,0.7153996101,0.0147402524
192,0.7226839027,0.0272873626
193,0.7517184775,0.0131698638
194,0.7039088950,0.0238331310
195,0.7142710578,0.0207801193
196,0.7410485278,0.0200752228
197,0.7258643685,0.0165830914
198,0.7313019391,0.0079191630
199,0.7624910229,0.0272344647
200,0.7686467631,0.0112677887
201,0.7648507233,0.0134231840
202,0.7310967477,0.0108100984
203,0.7294552170,0.0447510037
204,0.7793167128,0.0101616337
205,0.7248384118,0.0240901101
206,0.7793167128,0.0136263119
207,0.6712834718,0.0287645035
208,0.7325330871,0.0364854208
209,0.6960090284,0.0367770778
210,0.7393044014,0.0165175843
211,0.7402277624,0.0343730714
212,0.7093464656,0.0255102438
213,0.7289422386,0.0274987021
214,0.7302759824,0.0184232803
215,0.7399199754,0.0121644031
216,0.6858520570,0.0218930603
217,0.6384528573,0.0253326141
218,0.5904380835,0.0347434448
219,0.7518210732,0.0556622880
220,0.7060634041,0.0136956574
221,0.6191648712,0.0339714080
222,0.6596901611,0.0265522669
223,0.6661536883,0.0341743699
224,0.7215553504,0.0123813890
225,0.6846209090,0.0220411224
226,0.6637939879,0.0134333742
227,0.6359905612,0.0229617270
228,0.7951164461,0.0077553098
229,0.7030881297,0.0104476451
230,0.7304811737,0.0151125895
231,0.7630040012,0.0128535630
232,0.7283266646,0.0089499655
233,0.7319175131,0.0354423125
234,0.7098594439,0.0206230058
235,0.6766184467,0.0215836518
236,0.6204986150,0.0360938509
237,0.6537396122,0.0233512795
238,0.6949830717,0.0150469764
239,0.6885195445,0.0134724953
240,0.6502513594,0.0145135710
241,0.7059608085,0.0445496817
242,0.6946752847,0.0274224236
243,0.7314045347,0.0293495354
244,0.6564070996,0.0211610876
245,0.7315071304,0.0212340819
246,0.6734379809,0.0230614438
247,0.6559967169,0.0154269231
248,0.7142710578,0.0180107277
249,0.6740535549,0.0159515648
250,0.6899558839,0.0145331394
251,0.7266851339,0.0092949639
252,0.7678259977,0.0076031629
253,0.7909100236,0.0333863400
254,0.6697445368,0.0368933803
255,0.6762080640,0.0297361122
256,0.7199138196,0.0074507346
257,0.6416333231,0.0318092909
258,0.6857494614,0.0243754877
259,0.7042166821,0.0215142901
260,0.7172463322,0.0181817360
261,0.7234020724,0.0210383673
262,0.7565404740,0.0238092701
263,0.7341746178,0.0104325219
264,0.7170411409,0.0172421784
265,0.7022673643,0.0064870976
266,0.6997024726,0.0108625513
267,0.7405355494,0.0129197241
268,0.7328408741,0.0166432820
269,0.6980609418,0.0189382826
270,0.6445060018,0.0146125915
271,0.6563045039,0.0210953265
272,0.7004206422,0.0211953816
273,0.7110905920,0.0160666261
274,0.7230942854,0.0130615208
275,0.7829075613,0.0054269134
276,0.7098594439,0.0159858409
277,0.7750076947,0.0293448727
278,0.7647481276,0.0176476483
279,0.7562326870,0.0164024778
280,0.7645429363,0.0140372475
281,0.7765466297,0.0134724953
282,0.7878321535,0.0111040560
283,0.7543859649,0.0173292561
284,0.7585923874,0.0106185280
285,0.7864984098,0.0236326627
286,0.7836257310,0.0168075382
287,0.7523340515,0.0155715760
288,0.7763414384,0.0109753394
289,0.7953216374,0.0205227246
290,0.7804452652,0.0110355940
291,0.7685441674,0.0142847662
292,0.7633117882,0.0178410302
293,0.7701856982,0.0143009680
294,0.7817790089,0.0210108318
295,0.7837283267,0.0103991733
296,0.7901918539,0.0125762374
297,0.7715194419,0.0110126787
298,0.7671078280,0.0188569614
299,0.7468964810,0.0190899640
300,0.7367395096,0.0162949574
301,0.7617728532,0.0205964482
302,0.7729557813,0.0132415999
303,0.7704934852,0.0125787480
304,0.7696727198,0.0148894563
305,0.7951164461,0.0141879092
306,0.7995280599,0.0141008409
307,0.7979891249,0.0076114649
308,0.7489483944,0.0222137989
309,0.7641325536,0.0076156124
310,0.7870113881,0.0163446206
311,0.7787011388,0.0245458936
312,0.7872165795,0.0162697455
313,0.8120447317,0.0112593782
314,0.7885503232,0.0154630430
315,0.7714168462,0.0176923252
316,0.7675182107,0.0186346050
317,0.7491535857,0.0143178865
318,0.8006566123,0.0115282113
319,0.7683389761,0.0068470601
320,0.7626962142,0.0149649071
321,0.8130706884,0.0108480065
322,0.7746999077,0.0055742599
323,0.7746999077,0.0136818164
324,0.7467938853,0.0122015543
325,0.7631065969,0.0132320576
326,0.7640299579,0.0139567826
327,0.6501487637,0.0091142843
328,0.7900892582,0.0096549013
329,0.7582846004,0.0213675035
330,0.7864984098,0.0131578697
331,0.7953216374,0.0185440078
332,0.7868061968,0.0141343922
333,0.7883451318,0.0132296709
334,0.7640299579,0.0184215662
335,0.7586949831,0.0113839594
336,0.7885503232,0.0166204986
337,0.7732635683,0.0147552407
338,0.7933723197,0.0108013314
339,0.8098902226,0.0168831455
340,0.7645429363,0.0259528519
341,0.7774699908,0.0214922625
342,0.7906022366,0.0173771748
343,0.7868061968,0.0163587823
344,0.7775725864,0.0212192055
345,0.7899866626,0.0162230975
346,0.7856776444,0.0269535834
347,0.7639273623,0.0232129365
348,0.7737765466,0.0199326252
349,0.7806504566,0.0175255509
350,0.8108135837,0.0141745489
351,0.7982969119,0.0146586201
352,0.7904996409,0.0151376426
353,0.8158407715,0.0136687315
354,0.7688519544,0.0129270545
355,0.7821893916,0.0330077554
356,0.8086590746,0.0154800514
357,0.7880373448,0.0145222713
358,0.7915255976,0.0186091691
359,0.8045552478,0.0081316373
360,0.7480250333,0.0203858398
361,0.7933723197,0.0135690289
362,0.8010669950,0.0139771305
363,0.7857802401,0.0137370967
364,0.7531548169,0.0137646536
365,0.7567456653,0.0245887386
366,0.8038370781,0.0182303009
367,0.7989124859,0.0194748095
368,0.7892684929,0.0250076815
369,0.7770596081,0.0266306426
370,0.7890633015,0.0154146367
371,0.7901918539,0.0098470467
372,0.7873191751,0.0283331277
373,0.7978865292,0.0201097983
374,0.8289730173,0.0132439845
375,0.7844464964,0.0205047657
376,0.7942956807,0.0144350322
377,0.8277418693,0.0106807957
378,0.8325638658,0.0115737739
379,0.8213809377,0.0111833987
380,0.8242536165,0.0125023675
381,0.7845490920,0.0223055352
382,0.7972709552,0.0116887045
383,0.8180978763,0.0140034634
384,0.8150200062,0.0102913226
385,0.7877295578,0.0321381654
